date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:11	122873/122873	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bloc.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bloc.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:11	107185/107185	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cvar.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cvar.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:11	150688/150688	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cmap.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cmap.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:12	108710/108710	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6EBSC.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6EBSC.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:12	105256/105256	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cvt.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6cvt.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:12	111859/111859	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fdsc.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fdsc.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:13	109880/109880	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fmtx.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fmtx.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:13	123847/123847	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6feat.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6feat.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:14	110328/110328	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fond.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fond.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:14	120759/120759	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fvar.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6fvar.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
